
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2025-04-20 13:25:20 / ..................................................................... ~ 2s
  2025-04-20 13:25:20 /tenant/login ......................................................... ~ 4s
  2025-04-20 13:25:25 /build/assets/app-DbTWgVAB.css .................................... ~ 0.38ms
  2025-04-20 13:25:25 /build/assets/app-Bo-u61x1.js ..................................... ~ 2.42ms
  2025-04-20 13:25:26 /favicon.ico ...................................................... ~ 0.19ms
  2025-04-20 13:25:39 / ..................................................................... ~ 1s
  2025-04-20 13:25:40 /tenant/login ......................................................... ~ 2s
  2025-04-20 13:25:44 /casisang-pageant/register ............................................ ~ 5s
  2025-04-20 13:25:44 /favicon.ico .......................................................... ~ 6s
  2025-04-20 13:28:52 /casisang-pageant/register ............................................ ~ 1s
  2025-04-20 13:28:54 /casisang-pageant/register ............................................ ~ 1s
  2025-04-20 13:28:55 /favicon.ico ...................................................... ~ 0.29ms
  2025-04-20 13:29:35 /casisang-pageant/register ............................................ ~ 1s
  2025-04-20 13:29:36 /casisang-pageant/register ...................................... ~ 550.90ms
  2025-04-20 13:29:38 /favicon.ico ...................................................... ~ 0.20ms
  2025-04-20 13:29:43 /casisang-pageant/register ............................................ ~ 7s
  2025-04-20 13:29:43 /casisang-pageant/register/success .................................... ~ 8s
  2025-04-20 13:29:53 /favicon.ico ...................................................... ~ 0.28ms
  2025-04-20 13:30:09 /tenant/login ......................................................... ~ 1s
  2025-04-20 13:30:10 /build/assets/app-DbTWgVAB.css .................................... ~ 0.28ms
  2025-04-20 13:30:10 /build/assets/app-Bo-u61x1.js ..................................... ~ 0.14ms
  2025-04-20 13:30:10 /favicon.ico ...................................................... ~ 4.82ms
  2025-04-20 13:30:31 /tenant/register ...................................................... ~ 2s
  2025-04-20 13:30:32 /build/assets/app-DbTWgVAB.css .................................... ~ 0.17ms
  2025-04-20 13:30:32 /build/assets/app-Bo-u61x1.js ..................................... ~ 0.11ms
  2025-04-20 13:30:33 /favicon.ico ...................................................... ~ 0.11ms
  2025-04-20 13:31:09 /tenant/register ...................................................... ~ 4s
  2025-04-20 13:31:09 /tenant/register/success .............................................. ~ 5s
  2025-04-20 13:31:15 /build/assets/app-DbTWgVAB.css .................................... ~ 0.19ms
  2025-04-20 13:31:15 /build/assets/app-Bo-u61x1.js ..................................... ~ 0.28ms
  2025-04-20 13:31:16 /favicon.ico ...................................................... ~ 0.16ms
  2025-04-20 13:40:45 /favicon.ico ...................................................... ~ 2.80ms
  2025-04-20 13:40:49 /tenant/register ...................................................... ~ 2s
  2025-04-20 13:40:49 /tenant/register/success .............................................. ~ 3s
  2025-04-20 13:40:52 /build/assets/app-DbTWgVAB.css .................................... ~ 0.26ms
  2025-04-20 13:40:52 /build/assets/app-Bo-u61x1.js ..................................... ~ 6.69ms
  2025-04-20 13:40:53 /favicon.ico ...................................................... ~ 0.27ms
  2025-04-20 13:46:09 /favicon.ico ...................................................... ~ 0.46ms
  2025-04-20 13:46:10 /tenant/register ...................................................... ~ 2s
  2025-04-20 13:46:10 /tenant/register/success .............................................. ~ 3s
  2025-04-20 13:46:13 /build/assets/app-DbTWgVAB.css .................................... ~ 6.45ms
  2025-04-20 13:46:13 /build/assets/app-Bo-u61x1.js ..................................... ~ 0.18ms
  2025-04-20 13:46:14 /favicon.ico ...................................................... ~ 0.19ms
  2025-04-20 13:48:59 /tenant/login ......................................................... ~ 1s
  2025-04-20 13:49:00 /build/assets/app-DbTWgVAB.css .................................... ~ 0.19ms
  2025-04-20 13:49:00 /build/assets/app-Bo-u61x1.js ..................................... ~ 0.33ms
  2025-04-20 13:49:01 /favicon.ico ...................................................... ~ 0.28ms
  2025-04-20 13:49:05 /tenant/login ......................................................... ~ 1s
  2025-04-20 13:49:06 /casisang-pageant/dashboard ........................................... ~ 1s
  2025-04-20 13:49:07 /tenant/redirect-login ................................................ ~ 1s
  2025-04-20 13:49:08 /tenant/login ......................................................... ~ 1s
  2025-04-20 13:49:09 /build/assets/app-DbTWgVAB.css .................................... ~ 0.30ms
  2025-04-20 13:49:09 /build/assets/app-Bo-u61x1.js ..................................... ~ 7.68ms
  2025-04-20 13:49:10 /favicon.ico ...................................................... ~ 0.23ms
  2025-04-20 13:49:18 /tenant/login ......................................................... ~ 1s
  2025-04-20 13:49:20 /casisang-pageant/dashboard ........................................... ~ 1s
  2025-04-20 13:49:20 /tenant/redirect-login .......................................... ~ 513.44ms
  2025-04-20 13:49:21 /tenant/login ......................................................... ~ 1s
  2025-04-20 13:49:22 /build/assets/app-DbTWgVAB.css .................................... ~ 0.21ms
  2025-04-20 13:49:22 /build/assets/app-Bo-u61x1.js ..................................... ~ 0.17ms
  2025-04-20 13:49:22 /favicon.ico ...................................................... ~ 0.16ms
  2025-04-20 13:49:50 / ..................................................................... ~ 1s
  2025-04-20 13:49:52 /tenant/login ......................................................... ~ 1s
  2025-04-20 13:49:53 /build/assets/app-DbTWgVAB.css .................................... ~ 0.35ms
  2025-04-20 13:49:53 /build/assets/app-Bo-u61x1.js ..................................... ~ 3.48ms
  2025-04-20 13:50:04 / ..................................................................... ~ 1s
  2025-04-20 13:50:05 /tenant/login ......................................................... ~ 1s
  2025-04-20 13:50:06 /build/assets/app-DbTWgVAB.css .................................... ~ 0.33ms
  2025-04-20 13:50:06 /build/assets/app-Bo-u61x1.js ..................................... ~ 4.50ms
  2025-04-20 13:50:06 / ............................................................... ~ 501.36ms
  2025-04-20 13:50:07 /tenant/login ......................................................... ~ 1s
  2025-04-20 13:50:08 /build/assets/app-DbTWgVAB.css .................................... ~ 0.27ms
  2025-04-20 13:50:08 /build/assets/app-Bo-u61x1.js ..................................... ~ 3.48ms
  2025-04-20 13:50:09 /favicon.ico ...................................................... ~ 0.32ms
  2025-04-20 13:50:16 /tenant/login ......................................................... ~ 2s
  2025-04-20 13:50:18 /casisang-pageant/dashboard ..................................... ~ 514.84ms
  2025-04-20 13:50:19 /tenant/redirect-login .......................................... ~ 513.65ms
  2025-04-20 13:50:19 /tenant/login ......................................................... ~ 1s
  2025-04-20 13:50:20 /build/assets/app-DbTWgVAB.css .................................... ~ 0.31ms
  2025-04-20 13:50:20 /build/assets/app-Bo-u61x1.js ..................................... ~ 2.74ms
  2025-04-20 13:50:20 /favicon.ico ...................................................... ~ 0.20ms
  2025-04-20 13:50:29 /tenant/login ......................................................... ~ 1s
  2025-04-20 13:50:31 /dwewa/dashboard ...................................................... ~ 1s
  2025-04-20 13:50:32 /tenant/redirect-login .......................................... ~ 508.64ms
  2025-04-20 13:50:32 /tenant/login ......................................................... ~ 1s
  2025-04-20 13:50:33 /build/assets/app-DbTWgVAB.css .................................... ~ 0.15ms
  2025-04-20 13:50:33 /build/assets/app-Bo-u61x1.js ..................................... ~ 1.12ms
  2025-04-20 13:50:33 /favicon.ico ...................................................... ~ 0.09ms
  2025-04-20 13:50:55 /tenant/login ......................................................... ~ 1s
  2025-04-20 13:50:56 /build/assets/app-DbTWgVAB.css .................................... ~ 0.23ms
  2025-04-20 13:50:56 /build/assets/app-Bo-u61x1.js ..................................... ~ 2.64ms
  2025-04-20 13:50:57 /favicon.ico ...................................................... ~ 0.12ms
  2025-04-20 13:51:01 /tenant/login ......................................................... ~ 1s
  2025-04-20 13:51:03 /tenant/login ......................................................... ~ 1s
  2025-04-20 13:51:04 /build/assets/app-DbTWgVAB.css .................................... ~ 0.23ms
  2025-04-20 13:51:04 /build/assets/app-Bo-u61x1.js ..................................... ~ 1.75ms
  2025-04-20 13:51:04 /favicon.ico ...................................................... ~ 0.14ms
  2025-04-20 13:51:08 /tenant/login ......................................................... ~ 1s
  2025-04-20 13:51:09 /tenant/login ......................................................... ~ 1s
  2025-04-20 13:51:10 /build/assets/app-DbTWgVAB.css .................................. ~ 508.77ms
  2025-04-20 13:51:10 /build/assets/app-Bo-u61x1.js ................................... ~ 510.58ms
  2025-04-20 13:51:11 /favicon.ico ...................................................... ~ 0.18ms
  2025-04-20 13:51:44 /favicon.ico ...................................................... ~ 0.33ms
  2025-04-20 13:51:44 /favicon.ico ...................................................... ~ 0.16ms
  2025-04-20 13:51:58 /casisang-pageant/dashboard ........................................... ~ 2s
  2025-04-20 13:52:00 /tenant/redirect-login ................................................ ~ 1s
  2025-04-20 13:52:01 / ..................................................................... ~ 1s
  2025-04-20 13:52:02 /tenant/login ................................................... ~ 512.37ms
  2025-04-20 13:52:03 /build/assets/app-DbTWgVAB.css .................................... ~ 0.18ms
  2025-04-20 13:52:03 /build/assets/app-Bo-u61x1.js ..................................... ~ 1.42ms
  2025-04-20 13:52:03 /favicon.ico ...................................................... ~ 0.19ms
  2025-04-20 13:52:28 /tenant/login ......................................................... ~ 1s
  2025-04-20 13:52:29 /build/assets/app-DbTWgVAB.css .................................... ~ 0.39ms
  2025-04-20 13:52:29 /build/assets/app-Bo-u61x1.js ..................................... ~ 1.44ms
  2025-04-20 13:52:29 /favicon.ico ...................................................... ~ 0.14ms
  2025-04-20 13:53:03 / ..................................................................... ~ 1s
  2025-04-20 13:53:04 /tenant/login ................................................... ~ 508.31ms
  2025-04-20 13:53:05 /build/assets/app-DbTWgVAB.css .................................... ~ 0.24ms
  2025-04-20 13:53:05 /build/assets/app-Bo-u61x1.js ..................................... ~ 1.99ms
  2025-04-20 13:53:05 /favicon.ico ...................................................... ~ 0.17ms
  2025-04-20 13:53:10 /tenant/login ................................................... ~ 515.46ms
  2025-04-20 13:53:11 /tenant/login ......................................................... ~ 1s
  2025-04-20 13:53:12 /build/assets/app-DbTWgVAB.css .................................... ~ 0.27ms
  2025-04-20 13:53:12 /build/assets/app-Bo-u61x1.js ..................................... ~ 2.13ms
  2025-04-20 13:53:12 /favicon.ico ...................................................... ~ 0.17ms
  2025-04-20 13:53:15 /tenant/login ......................................................... ~ 1s
  2025-04-20 13:53:16 /tenant/login ......................................................... ~ 1s
  2025-04-20 13:53:17 /build/assets/app-DbTWgVAB.css .................................... ~ 0.26ms
  2025-04-20 13:53:17 /build/assets/app-Bo-u61x1.js ..................................... ~ 2.11ms
  2025-04-20 13:53:17 /favicon.ico ...................................................... ~ 0.17ms
  2025-04-20 13:53:22 /tenant/login ......................................................... ~ 2s
  2025-04-20 13:53:24 /casisang-pageant/dashboard ..................................... ~ 512.31ms
  2025-04-20 13:53:24 /tenant/redirect-login ................................................ ~ 1s
  2025-04-20 13:53:25 /tenant/login ................................................... ~ 516.02ms
  2025-04-20 13:53:26 /build/assets/app-DbTWgVAB.css .................................... ~ 0.39ms
  2025-04-20 13:53:26 /build/assets/app-Bo-u61x1.js ..................................... ~ 7.66ms
  2025-04-20 13:53:26 /favicon.ico ..................................................... ~ 20.65ms
  2025-04-20 13:53:52 /tenant/register ...................................................... ~ 1s
  2025-04-20 13:53:53 /build/assets/app-DbTWgVAB.css .................................... ~ 0.28ms
  2025-04-20 13:53:53 /build/assets/app-Bo-u61x1.js ..................................... ~ 6.02ms
  2025-04-20 13:53:53 /favicon.ico ...................................................... ~ 0.19ms
  2025-04-20 13:52:09 ................................................................... ~ 2m 10s
  2025-04-20 13:55:43 /tenant/register ...................................................... ~ 1s
  2025-04-20 13:55:44 /build/assets/app-DbTWgVAB.css .................................... ~ 0.14ms
  2025-04-20 13:55:44 /build/assets/app-Bo-u61x1.js ..................................... ~ 1.10ms
  2025-04-20 13:55:44 /favicon.ico ...................................................... ~ 0.33ms
  2025-04-20 13:56:40 /tenant/register ...................................................... ~ 2s
  2025-04-20 13:56:43 /tenant/register/success .............................................. ~ 1s
